Data,RMD_A401,RMD_A403,RMD_A415,RMDM,RMDM_Norm
2001-12-19,8.7,0.0,0.0,8.7,0.3179916317991632
2001-12-20,8.7,0.0,0.0,8.7,0.3179916317991632
2001-12-21,8.7,0.0,0.0,8.7,0.3179916317991632
2001-12-22,9.635899322931998,0.0,0.0,9.635899322931998,0.3571505992858577
2001-12-23,7.3,0.0,0.0,7.3,0.2594142259414226
2001-12-24,7.359999999999999,0.0,0.0,7.359999999999999,0.2619246861924686
2001-12-25,7.42,0.0,0.0,7.42,0.2644351464435147
2001-12-26,7.479999999999999,0.0,0.0,7.479999999999999,0.26694560669456063
2001-12-27,7.54,0.0,0.0,7.54,0.2694560669456067
2001-12-28,7.6,0.0,0.0,7.6,0.2719665271966527
2001-12-29,10.7,0.0,0.0,10.7,0.401673640167364
2001-12-30,7.1,0.0,0.0,7.1,0.2510460251046025
2001-12-31,7.8,0.0,0.0,7.8,0.2803347280334728
2002-01-01,8.6,0.0,0.0,8.6,0.3138075313807532
2002-01-02,6.2,0.0,0.0,6.2,0.2133891213389122
2002-01-03,12.3,0.0,0.0,12.3,0.46861924686192474
2002-01-04,10.0,0.0,0.0,10.0,0.37238493723849375
2002-01-05,7.1,0.0,0.0,7.1,0.2510460251046025
2002-01-06,10.3,0.0,0.0,10.3,0.3849372384937239
2002-01-07,13.8,0.0,0.0,13.8,0.5313807531380754
2002-01-08,10.1,0.0,0.0,10.1,0.3765690376569038
2002-01-09,12.0,0.0,0.0,12.0,0.45606694560669464
2002-01-10,10.0,0.0,0.0,10.0,0.37238493723849375
2002-01-11,9.9,0.0,0.0,9.9,0.36820083682008375
2002-01-12,8.8,0.0,0.0,8.8,0.3221757322175733
2002-01-13,8.1,0.0,0.0,8.1,0.29288702928870297
2002-01-14,6.8,0.0,0.0,6.8,0.2384937238493724
2002-01-15,11.2,0.0,0.0,11.2,0.4225941422594142
2002-01-16,5.6,0.0,0.0,5.6,0.18828451882845187
2002-01-17,9.1,0.0,0.0,9.1,0.3347280334728034
2002-01-18,11.4,0.0,0.0,11.4,0.4309623430962344
2002-01-19,6.6,0.0,0.0,6.6,0.2301255230125523
2002-01-20,8.4,0.0,0.0,8.4,0.30543933054393313
2002-01-21,7.8,0.0,0.0,7.8,0.2803347280334728
2002-01-22,7.5,0.0,0.0,7.5,0.2677824267782427
2002-01-23,5.6,0.0,0.0,5.6,0.18828451882845187
2002-01-24,7.2,0.0,0.0,7.2,0.2552301255230126
2002-01-25,7.1,0.0,0.0,7.1,0.2510460251046025
2002-01-26,7.4,0.0,0.0,7.4,0.26359832635983266
2002-01-27,7.9,0.0,0.0,7.9,0.28451882845188287
2002-01-28,6.0,0.0,0.0,6.0,0.20502092050209209
2002-01-29,7.4,0.0,0.0,7.4,0.26359832635983266
2002-01-30,6.9,0.0,0.0,6.9,0.24267782426778245
2002-01-31,8.5,0.0,0.0,8.5,0.3096234309623431
2002-02-01,7.6,0.0,0.0,7.6,0.2719665271966527
2002-02-02,5.3,0.0,0.0,5.3,0.17573221757322177
2002-02-03,12.4,0.0,0.0,12.4,0.47280334728033485
2002-02-04,11.4,0.0,0.0,11.4,0.4309623430962344
2002-02-05,7.2,0.0,0.0,7.2,0.2552301255230126
2002-02-06,14.1,0.0,0.0,14.1,0.5439330543933054
2002-02-07,9.3,0.0,0.0,9.3,0.3430962343096235
2002-02-08,6.6,0.0,0.0,6.6,0.2301255230125523
2002-02-09,8.4,0.0,0.0,8.4,0.30543933054393313
2002-02-10,8.8,0.0,0.0,8.8,0.3221757322175733
2002-02-11,8.4,0.0,0.0,8.4,0.30543933054393313
2002-02-12,8.1,0.0,0.0,8.1,0.29288702928870297
2002-02-13,8.3,0.0,0.0,8.3,0.3012552301255231
2002-02-14,7.1,0.0,0.0,7.1,0.2510460251046025
2002-02-15,6.2,0.0,0.0,6.2,0.2133891213389122
2002-02-16,7.5,0.0,0.0,7.5,0.2677824267782427
2002-02-17,7.7,0.0,0.0,7.7,0.2761506276150628
2002-02-18,6.0,0.0,0.0,6.0,0.20502092050209209
